date, pm25, pm10, o3, no2, so2, co
2023/10/7, 35, 13, 22, 3, 2, 6
2023/10/8, 34, 12, 16, 4, 2, 7
2023/10/9, 37, 13, 18, 5, 2, 6
2023/10/10, 39, 17, 31, 5, 2, 6
2023/10/11, 43, 30, 39, 6, 2, 7
2023/10/12, 73, 42, 43, 5, 2, 6
2023/10/13, 73, 44, 57, 10, 2, 7
2023/10/14, 98, 44, 58, 8, 2, 7
2023/10/15, 107, 44, 52, 11, 2, 6
2023/10/16, 92, 44, 56, 14, 2, 6
2023/10/17, 91, 34, 43, 11, 2, 6
2023/10/18, 81, 37, 23, 17, , 8
2023/10/19, 91, 20, 14, 11, 2, 7
2023/10/20, 50, 14, 25, 8, , 6
2023/10/21, 28, 19, 25, 9, , 7
2023/10/22, 55, 29, 5, 15, 2, 8
2023/10/23, 69, 35, 29, 20, 2, 8
2023/10/24, 78, 63, 31, 31, 2, 10
2023/10/25, 130, 53, 68, 24, 2, 6
2023/10/26, 93, 56, 84, 22, 3, 7
2023/10/27, 107, 46, 42, 14, 2, 7
2023/10/28, 109, 37, 18, 15, 2, 6
2023/10/29, 87, 45, 39, 13, 3, 7
2023/10/30, 93, 36, 49, 15, 2, 6
2023/10/31, 79, 49, 82, 23, 2, 6
2023/11/1, 97, 55, 96, 24, 3, 6
2023/11/2, 102, 59, 90, 29, 3, 7
2023/11/3, 107, 47, 103, 20, 3, 6
2023/11/4, 78, 31, 16, 14, 3, 6
2023/11/5, 54, 42, 41, 13, 3, 7
2023/11/6, 79, 37, 67, 10, 3, 7
2023/11/7, 67, 62, 42, 23, 3, 9
2023/11/8, 114, 46, 42, 12, 3, 8
2023/11/9, 71, 56, 15, 24, 4, 9
2023/11/10, 89, 17, 7, 10, 2, 7
2023/11/11, 50, 14, 27, 4, 2, 4
2023/11/12, 36, 22, 18, 6, 2, 5
2023/11/13, 49, 29, 20, 10, 3, 5
2023/11/14, 64, 41, 18, 15, 3, 6
2023/11/15, 86, 39, 23, 12, 3, 6
2023/11/16, 68, 53, 35, 9, 3, 5
2023/11/17, 72, 57, 37, 13, 3, 4
2023/11/18, 87, 57, 36, 19, 3, 5
2023/11/19, 95, 71, 48, 28, 4, 7
2023/11/20, 125, 66, 58, 30, 3, 7
2023/11/21, 125, 63, 64, 33, 3, 7
2023/11/22, 120, 68, 100, 34, 3, 8
2023/11/23, 136, 53, 59, 20, 3, 5
2023/11/24, 106, 72, 70, 18, 3, 7
2023/11/25, 145, 61, 59, 19, 3, 6
2023/11/26, 119, 62, 50, 16, 4, 7
2023/11/27, 137, 56, 56, 17, 3, 6
2023/11/28, 108, 64, 32, 29, 3, 7
2023/11/29, 134, 47, 33, 14, 3, 7
2023/11/30, 98, 50, 27, 8, 3, 7
2023/12/1, 95, 41, 36, 10, 3, 6
2023/12/2, 87, 44, 28, 12, 4, 7
2023/12/3, 93, 41, 15, 12, 3, 7
2023/12/4, 86, 37, 25, 14, 3, 8
2023/12/5, 69, 38, 12, 17, 3, 8
2023/12/6, 78, 38, , 20, 3, 7
2023/12/7, 75, 61, , 30, 4, 8
2023/12/8, 115, 57, , 31, 4, 7
2023/12/9, 103, 41, 18, 17, 3, 5
2023/12/10, 70, 51, 37, 25, 3, 7
2023/12/11, 92, 44, 21, 18, 3, 7
